Esquema,Conservabilidade
23113312,True
23113313,True
23123121,False
23123122,False
23123123,False
23123221,True
23123222,True
23123223,True
23123321,True
23123322,True
23123323,True
23133131,False
23133132,False
23133133,False
23133231,False
23133232,False
23133233,False
23133331,True
23133332,True
23133333,True
23213111,True
23213112,True
23213113,True
23213211,False
23213212,False
23213213,False
23213311,False
23213312,False
23213313,False
23223121,False
23223122,False
23223123,False
23223221,True
23223321,True
23233131,False
23233132,False
23233133,False
23233231,False
23233331,True
23313111,True
23313112,True
23313113,True
23313211,False
23313212,False
23313213,False
23313311,False
23313312,False
23313313,False
23323121,False
23323122,False
23323123,False
23323221,True
23323321,False
23333131,False
23333132,False
23333133,False
23333231,False
23333331,True
31111112,True
31111211,False
31111212,False
31111213,False
31111312,False
31121121,False
31121122,False
31121123,False
31121221,True
31121222,True
31121223,True
31121321,False
31121322,False
31121323,False
31131132,False
31131231,False
31131232,False
31131233,False
31131332,True
31211111,True
31211112,True
31211113,True
31211211,False
31211212,False
31211213,False
31211311,False
31211312,False
31211313,False
31221121,False
31221122,False
31221123,False
31221221,True
31221222,True
31221223,True
31221321,False
31221322,False
31221323,False
31231131,False
31231132,False
31231133,False
31231231,False
31231232,False
31231233,False
31231331,True
31231332,True
31231333,True
31311112,True
31311211,False
31311212,False
31311213,False
31311312,False
31321121,False
31321122,False
31321123,False
31321221,True
31321222,True
31321223,True
31321321,False
31321322,False
31321323,False
31331132,False
31331231,False
31331232,False
31331233,False
31331332,True
32112111,True
32112112,True
32112113,True
32112211,True
32112212,True
32112213,True
32112311,False
32112312,False
32112313,False
32122121,False
32122122,False
32122123,False
32122221,True
32122222,True
32122223,True
32122321,False
32122322,False
32122323,False
32132131,False
32132132,False
32132133,False
32132231,False
32132232,False
32132233,False
32132331,True
32132332,True
32132333,True
32212111,True
32212112,True
32212113,True
32212211,False
32212212,False
32212213,False
32212311,False
32212312,False
32212313,False
32222121,False
32222122,False
32222123,False
32222221,True
32222321,False
32232131,False
32232132,False
32232133,False
32232231,False
32232331,True
32312111,True
32312112,True
32312113,True
32312211,True
32312212,True
32312213,True
32312311,False
32312312,False
32312313,False
32322121,False
32322122,False
32322123,False
32322221,True
32322321,False
32332131,False
32332132,False
32332133,False
32332231,False
32332331,True
33113112,True
33113211,True
33113212,True
33113213,True
33113312,True
33123121,False
33123122,False
33123123,False
33123221,True
33123222,True
33123223,True
33123321,True
33123322,True
33123323,True
33133132,False
33133231,False
33133232,False
33133233,False
33133332,True
33213111,True
33213112,True
33213113,True
33213211,False
33213212,False
33213213,False
33213311,False
33213312,False
33213313,False
33223121,False
33223122,False
33223123,False
33223221,True
33223321,True
33233131,False
33233132,False
33233133,False
33233231,False
33233331,True
33313112,True
33313211,False
33313212,False
33313213,False
33313312,False
33323121,False
33323122,False
33323123,False
33323221,True
33323321,False
33333132,False
33333231,False
11121324,False
11121423,False
11131234,False
11131432,False
11141243,False
11141342,False
11211314,False
11211413,False
11221324,False
11221423,False
11231134,False
11231234,False
11231334,True
11231431,False
11231432,False
11231433,False
11231434,False
11241143,False
11241243,False
11241341,False
11241342,False
11241343,False
11241344,False
11241443,True
11311214,False
11311412,False
11321124,False
11321224,True
11321324,False
11321421,False
11321422,False
11321423,False
11321424,False
11331234,False
11331432,False
11341142,False
11341241,False
11341242,False
11341243,False
11341244,False
11341342,False
11341442,True
11411213,False
11411312,False
11421123,False
11421223,True
11421321,False
11421322,False
11421323,False
11421324,False
11421423,False
11431132,False
11431231,False
11431232,False
11431233,False
11431234,False
11431332,True
11431432,False
11441243,False
11441342,False
12112314,False
12112413,False
12122324,False
12122423,False
12132134,False
12132234,False
12132334,True
12132431,False
12132432,False
12132433,False
12132434,False
12142143,False
12142243,False
12142341,False
12142342,False
12142343,False
12142344,False
12142443,True
12212314,False
12212413,False
12222324,False
12222423,False
12232134,False
12232234,False
12232334,True
12232431,False
12232432,False
12232433,False
12232434,False
12242143,False
12242243,False
12242341,False
12242342,False
12242343,False
12242344,False
12242443,True
12312114,True
12312214,True
12312314,False
12312411,False
12312412,False
12312413,False
12312414,False
12322124,False
12322224,True
12322324,False
12322421,False
12322422,False
12322423,False
12322424,False
12332134,False
12332234,False
12332334,True
12332431,False
12332432,False
12332433,False
12332434,False
12342141,False
12342142,False
12342143,False
12342144,False
12342241,False
12342242,False
12342243,False
12342244,False
12342341,False
12342342,False
12342343,False
12342344,False
12342441,True
12342442,True
12342443,True
12342444,True
12412113,True
12412213,True
12412311,False
12412312,False
12412313,False
12412314,False
12412413,False
12422123,False
12422223,True
12422321,False
12422322,False
12422323,False
12422324,False
12422423,False
12432131,False
12432132,False
12432133,False
12432134,False
12432231,False
12432232,False
12432233,False
12432234,False
12432331,True
12432332,True
12432333,True
12432334,True
12432431,False
12432432,False
12432433,False
12432434,False
12442143,False
12442243,False
12442341,False
12442342,False
12442343,False
12442344,False
12442443,True
13113214,True
13113412,False
13123124,False
13123224,True
13123324,True
13123421,False
13123422,False
13123423,False
13123424,False
13133234,False
13133432,False
13143142,False
13143241,False
13143242,False
13143243,False
13143244,False
13143342,False
13143442,True
13213114,True
13213214,False
13213314,False
13213411,False
13213412,False
13213413,False
13213414,False
13223124,False
13223224,True
13223324,True
13223421,False
13223422,False
13223423,False
13223424,False
13233134,False
13233234,False
13233334,True
13233431,False
13233432,False
13233433,False
13233434,False
13243141,False
13243142,False
13243143,False
13243144,False
13243241,False
13243242,False
13243243,False
13243244,False
13243341,False
13243342,False
13243343,False
13243344,False
13243441,True
13243442,True
13243443,True
13243444,True
13313214,False
13313412,False
13323124,False
13323224,True
13323324,False
13323421,False
13323422,False
13323423,False
13323424,False
13333234,False
13333432,False
13343142,False
13343241,False
13343242,False
13343243,False
13343244,False
13343342,False
13343442,True
13413112,True
13413211,True
13413212,True
13413213,True
13413214,True
13413312,True
13413412,False
13423121,False
13423122,False
13423123,False
13423124,False
13423221,True
13423222,True
13423223,True
13423224,True
13423321,True
13423322,True
13423323,True
13423324,True
13423421,False
13423422,False
13423423,False
13423424,False
13433132,False
13433231,False
13433232,False
13433233,False
13433234,False
13433332,True
13433432,False
13443142,False
13443241,False
13443242,False
13443243,False
13443244,False
13443342,False
13443442,True
14114213,True
14114312,True
14124123,False
14124223,True
14124321,True
14124322,True
14124323,True
14124324,True
14124423,True
14134132,False
14134231,False
14134232,False
14134233,False
14134234,False
14134332,True
14134432,True
14144243,False
14144342,False
14214113,True
14214213,False
14214311,False
14214312,False
14214313,False
14214314,False
14214413,False
14224123,False
14224223,True
14224321,True
14224322,True
14224323,True
14224324,True
14224423,True
14234131,False
14234132,False
14234133,False
14234134,False
14234231,False
14234232,False
14234233,False
14234234,False
14234331,True
14234332,True
14234333,True
14234334,True
14234431,True
14234432,True
14234433,True
14234434,True
14244143,False
14244243,False
14244341,False
14244342,False
14244343,False
14244344,False
14244443,True
14314112,True
14314211,False
14314212,False
14314213,False
14314214,False
14314312,False
14314412,False
14324121,False
14324122,False
14324123,False
14324124,False
14324221,True
14324222,True
14324223,True
14324224,True
14324321,False
14324322,False
14324323,False
14324324,False
14324421,False
14324422,False
14324423,False
14324424,False
14334132,False
14334231,False
14334232,False
14334233,False
14334234,False
14334332,True
14334432,True
14344142,False
14344241,False
14344242,False
14344243,False
14344244,False
14344342,False
14344442,True
14414213,False
14414312,False
14424123,False
14424223,True
14424321,False
14424322,False
14424323,False
14424324,False
14424423,False
14434132,False
14434231,False
14434232,False
14434233,False
14434234,False
14434332,True
14434432,False
14444243,False
14444342,False
21111314,False
21111413,False
21121324,False
21121423,False
21131134,False
21131234,False
21131334,True
21131431,False
21131432,False
21131433,False
21131434,False
21141143,False
21141243,False
21141341,False
21141342,False
21141343,False
21141344,False
21141443,True
21211314,False
21211413,False
21221324,False
21221423,False
21231134,False
21231234,False
21231334,True
21231431,False
21231432,False
21231433,False
21231434,False
21241143,False
21241243,False
21241341,False
21241342,False
21241343,False
21241344,False
21241443,True
21311114,True
21311214,False
21311314,False
21311411,False
21311412,False
21311413,False
21311414,False
21321124,False
21321224,True
21321324,False
21321421,False
21321422,False
21321423,False
21321424,False
21331134,False
21331234,False
21331334,True
21331431,False
21331432,False
21331433,False
21331434,False
21341141,False
21341142,False
21341143,False
21341144,False
21341241,False
21341242,False
21341243,False
21341244,False
21341341,False
21341342,False
21341343,False
21341344,False
21341441,True
21341442,True
21341443,True
21341444,True
21411113,True
21411213,False
21411311,False
21411312,False
21411313,False
21411314,False
21411413,False
21421123,False
21421223,True
21421321,False
21421322,False
21421323,False
21421324,False
21421423,False
21431131,False
21431132,False
21431133,False
21431134,False
21431231,False
21431232,False
21431233,False
21431234,False
21431331,True
21431332,True
21431333,True
21431334,True
21431431,False
21431432,False
21431433,False
21431434,False
21441143,False
21441243,False
21441341,False
21441342,False
21441343,False
21441344,False
21441443,True
22112314,False
22112413,False
22122324,False
22122423,False
22132134,False
22132234,False
22132334,True
22132431,False
22132432,False
22132433,False
22132434,False
22142143,False
22142243,False
22142341,False
22142342,False
22142343,False
22142344,False
22142443,True
22212314,False
22212413,False
22232134,False
22232431,False
22242143,False
22242341,False
22312114,True
22312214,True
22312314,False
22312411,False
22312412,False
22312413,False
22312414,False
22322124,False
22322421,False
22332134,False
22332431,False
22342141,False
22342142,False
22342143,False
22342144,False
22342241,False
22342341,False
22342441,True
22412113,True
22412213,True
22412311,False
22412312,False
22412313,False
22412314,False
22412413,False
22422123,False
22422321,False
22432131,False
22432132,False
22432133,False
22432134,False
22432231,False
22432331,True
22432431,False
22442143,False
22442341,False
23113114,True
23113214,True
23113314,True
23113411,False
23113412,False
23113413,False
23113414,False
23123124,False
23123224,True
23123324,True
23123421,False
23123422,False
23123423,False
23123424,False
23133134,False
23133234,False
23133334,True
23133431,False
23133432,False
23133433,False
23133434,False
23143141,False
23143142,False
23143143,False
23143144,False
23143241,False
23143242,False
23143243,False
23143244,False
23143341,False
23143342,False
23143343,False
23143344,False
23143441,True
23143442,True
23143443,True
23143444,True
23213114,True
23213214,False
23213314,False
23213411,False
23213412,False
23213413,False
23213414,False
23223124,False
23223421,False
23233134,False
23233431,False
23243141,False
23243142,False
23243143,False
23243144,False
23243241,False
23243341,False
23243441,True
23313114,True
23313214,False
23313314,False
23313411,False
23313412,False
